id,tipo,area,componente,numero,texto
ef-area-ciencias-da-natureza-ce-01,especifica_de_area,ef-area-ciencias-da-natureza,,1,"Compreender as Ciências da Natureza como empreendimento humano, e o conhecimento científico como provisório, cultural e histórico."
ef-area-ciencias-da-natureza-ce-02,especifica_de_area,ef-area-ciencias-da-natureza,,2,"Compreender conceitos fundamentais e estruturas explicativas das Ciências da Natureza, bem como dominar processos, práticas e procedimentos da investigação científica, de modo a sentir segurança no debate de questões científicas, tecnológicas, socioambientais e do mundo do trabalho, continuar aprendendo e colaborar para a construção de uma sociedade justa, democrática e inclusiva."
ef-area-ciencias-da-natureza-ce-03,especifica_de_area,ef-area-ciencias-da-natureza,,3,"Analisar, compreender e explicar características, fenômenos e processos relativos ao mundo natural, social e tecnológico (incluindo o digital), como também as relações que se estabelecem entre eles, exercitando a curiosidade para fazer perguntas, buscar respostas e criar soluções (inclusive tecnológicas) com base nos conhecimentos das Ciências da Natureza."
ef-area-ciencias-da-natureza-ce-04,especifica_de_area,ef-area-ciencias-da-natureza,,4,"Avaliar aplicações e implicações políticas, socioambientais e culturais da ciência e de suas tecnologias para propor alternativas aos desafios do mundo contemporâneo, incluindo aqueles relativos ao mundo do trabalho."
ef-area-ciencias-da-natureza-ce-05,especifica_de_area,ef-area-ciencias-da-natureza,,5,"Construir argumentos com base em dados, evidências e informações confiáveis e negociar e defender ideias e pontos de vista que promovam a consciência socioambiental e o respeito a si próprio e ao outro, acolhendo e valorizando a diversidade de indivíduos e de grupos sociais, sem preconceitos de qualquer natureza."
ef-area-ciencias-da-natureza-ce-06,especifica_de_area,ef-area-ciencias-da-natureza,,6,"Utilizar diferentes linguagens e tecnologias digitais de informação e comunicação para se comunicar, acessar e disseminar informações, produzir conhecimentos e resolver problemas das Ciências da Natureza de forma crítica, significativa, reflexiva e ética."
ef-area-ciencias-da-natureza-ce-07,especifica_de_area,ef-area-ciencias-da-natureza,,7,"Conhecer, apreciar e cuidar de si, do seu corpo e bem-estar, compreendendo-se na diversidade humana, fazendo-se respeitar e respeitando o outro, recorrendo aos conhecimentos das Ciências da Natureza e às suas tecnologias."
ef-area-ciencias-da-natureza-ce-08,especifica_de_area,ef-area-ciencias-da-natureza,,8,"Agir pessoal e coletivamente com respeito, autonomia, responsabilidade, flexibilidade, resiliência e determinação, recorrendo aos conhecimentos das Ciências da Natureza para tomar decisões frente a questões científico-tecnológicas e socioambientais e a respeito da saúde individual e coletiva, com base em princípios éticos, democráticos, sustentáveis e solidários."
ef-area-ciencias-humanas-ce-01,especifica_de_area,ef-area-ciencias-humanas,,1,"Compreender a si e ao outro como identidades diferentes, de forma a exercitar o respeito à diferença em uma sociedade plural e promover os direitos humanos."
ef-area-ciencias-humanas-ce-02,especifica_de_area,ef-area-ciencias-humanas,,2,"Analisar o mundo social, cultural e digital e o meio técnico-científico-informacional com base nos conhecimentos das Ciências Humanas, considerando suas variações de significado no tempo e no espaço, para intervir em situações do cotidiano e se posicionar diante de problemas do mundo contemporâneo."
ef-area-ciencias-humanas-ce-03,especifica_de_area,ef-area-ciencias-humanas,,3,"Identificar, comparar e explicar a intervenção do ser humano na natureza e na sociedade, exercitando a curiosidade e propondo ideias e ações que contribuam para a transformação espacial, social e cultural, de modo a participar efetivamente das dinâmicas da vida social."
ef-area-ciencias-humanas-ce-04,especifica_de_area,ef-area-ciencias-humanas,,4,"Interpretar e expressar sentimentos, crenças e dúvidas com relação a si mesmo, aos outros e às diferentes culturas, com base nos instrumentos de investigação das Ciências Humanas, promovendo o acolhimento e a valorização da diversidade de indivíduos e de grupos sociais, seus saberes, identidades, culturas e potencialidades, sem preconceitos de qualquer natureza."
ef-area-ciencias-humanas-ce-05,especifica_de_area,ef-area-ciencias-humanas,,5,"Comparar eventos ocorridos simultaneamente no mesmo espaço e em espaços variados, e eventos ocorridos em tempos diferentes no mesmo espaço e em espaços variados."
ef-area-ciencias-humanas-ce-06,especifica_de_area,ef-area-ciencias-humanas,,6,"Construir argumentos, com base nos conhecimentos das Ciências Humanas, para negociar e defender ideias e opiniões que respeitem e promovam os direitos humanos e a consciência socioambiental, exercitando a responsabilidade e o protagonismo voltados para o bem comum e a construção de uma sociedade justa, democrática e inclusiva."
ef-area-ciencias-humanas-ce-07,especifica_de_area,ef-area-ciencias-humanas,,7,"Utilizar as linguagens cartográfica, gráfica e iconográfica e diferentes gêneros textuais e tecnologias digitais de informação e comunicação no desenvolvimento do raciocínio espaço-temporal relacionado a localização, distância, direção, duração, simultaneidade, sucessão, ritmo e conexão."
