codigo,etapa,anos,grupo_etario,eixo,objetos_conhecimento,competencia,texto,vigencia_status,fonte_localizador,fonte_localizador_pdf
EI03CO01,EI,,ei-grupo-03,co-eixo-pensamento-computacional,,,"Reconhecer padrão de repetição em sequência de sons, movimentos, desenhos.",vigente,COMPUTAÇÃO - EDUCAÇÃO INFANTIL .xlsx · linha 4,página PDF 6
EI03CO02,EI,,ei-grupo-03,co-eixo-pensamento-computacional,,,Expressar as etapas para a realização de uma tarefa de forma clara e ordenada.,vigente,COMPUTAÇÃO - EDUCAÇÃO INFANTIL .xlsx · linha 5,página PDF 6
EI03CO03,EI,,ei-grupo-03,co-eixo-pensamento-computacional,,,Experienciar a execução de algoritmos brincando com objetos (des)plugados.,vigente,COMPUTAÇÃO - EDUCAÇÃO INFANTIL .xlsx · linha 6,página PDF 6
EI03CO04,EI,,ei-grupo-03,co-eixo-pensamento-computacional,,,Criar e representar algoritmos para resolver problemas.,vigente,COMPUTAÇÃO - EDUCAÇÃO INFANTIL .xlsx · linha 7,página PDF 8
EI03CO05,EI,,ei-grupo-03,co-eixo-pensamento-computacional,,,Comparar soluções algorítmicas para resolver um mesmo problema.,vigente,COMPUTAÇÃO - EDUCAÇÃO INFANTIL .xlsx · linha 8,página PDF 8
EI03CO06,EI,,ei-grupo-03,co-eixo-pensamento-computacional,,,Compreender decisões em dois estados (verdadeiro ou falso).,vigente,COMPUTAÇÃO - EDUCAÇÃO INFANTIL .xlsx · linha 9,página PDF 8
EI03CO07,EI,,ei-grupo-03,co-eixo-mundo-digital,,,"Reconhecer dispositivos eletrônicos (e não-eletrônicos), identificando quando estão ligados ou desligados (abertos ou fechados).",vigente,COMPUTAÇÃO - EDUCAÇÃO INFANTIL .xlsx · linha 10,página PDF 10
EI03CO08,EI,,ei-grupo-03,co-eixo-mundo-digital,,,Compreender o conceito de interfaces para comunicação com objetos (des)plugados.,vigente,COMPUTAÇÃO - EDUCAÇÃO INFANTIL .xlsx · linha 11,página PDF 10
EI03CO09,EI,,ei-grupo-03,co-eixo-mundo-digital,,,Identificar dispositivos computacionais e as diferentes formas de interação.,vigente,COMPUTAÇÃO - EDUCAÇÃO INFANTIL .xlsx · linha 12,página PDF 10
EI03CO10,EI,,ei-grupo-03,co-eixo-cultura-digital,,,"Utilizar tecnologia digital de maneira segura, consciente e respeitosa.",vigente,COMPUTAÇÃO - EDUCAÇÃO INFANTIL .xlsx · linha 13,página PDF 12
