id,etapa,tipo,nome,componente
ef-comp-ar-oc-arte-e-tecnologia,EF,oc,Arte e tecnologia,ef-comp-ar
ef-comp-ar-oc-contextos-e-praticas,EF,oc,Contextos e práticas,ef-comp-ar
ef-comp-ar-oc-elementos-da-linguagem,EF,oc,Elementos da linguagem,ef-comp-ar
ef-comp-ar-oc-materialidades,EF,oc,Materialidades,ef-comp-ar
ef-comp-ar-oc-matrizes-esteticas-e-culturais,EF,oc,Matrizes estéticas e culturais,ef-comp-ar
ef-comp-ar-oc-notacao-e-registro-musical,EF,oc,Notação e registro musical,ef-comp-ar
ef-comp-ar-oc-patrimonio-cultural,EF,oc,Patrimônio cultural,ef-comp-ar
ef-comp-ar-oc-processos-de-criacao,EF,oc,Processos de criação,ef-comp-ar
ef-comp-ar-oc-sistemas-da-linguagem,EF,oc,Sistemas da linguagem,ef-comp-ar
ef-comp-ar-ut-artes-integradas,EF,ut,Artes integradas,ef-comp-ar
ef-comp-ar-ut-artes-visuais,EF,ut,Artes visuais,ef-comp-ar
ef-comp-ar-ut-danca,EF,ut,Dança,ef-comp-ar
ef-comp-ar-ut-musica,EF,ut,Música,ef-comp-ar
ef-comp-ar-ut-teatro,EF,ut,Teatro,ef-comp-ar
ef-comp-ci-oc-aspectos-quantitativos-das-transformacoes-quimicas,EF,oc,Aspectos quantitativos das transformações químicas,ef-comp-ci
ef-comp-ci-oc-astronomia-e-cultura,EF,oc,Astronomia e cultura,ef-comp-ci
ef-comp-ci-oc-cadeias-alimentares-simples,EF,oc,Cadeias alimentares simples,ef-comp-ci
ef-comp-ci-oc-calculo-de-consumo-de-energia-eletrica,EF,oc,Cálculo de consumo de energia elétrica,ef-comp-ci
ef-comp-ci-oc-calendarios-fenomenos-ciclicos-e-cultura,EF,oc,"Calendários, fenômenos cíclicos e cultura",ef-comp-ci
ef-comp-ci-oc-camada-de-ozonio,EF,oc,Camada de ozônio,ef-comp-ci
ef-comp-ci-oc-caracteristicas-da-terra,EF,oc,Características da Terra,ef-comp-ci
ef-comp-ci-oc-caracteristicas-dos-materiais,EF,oc,Características dos materiais,ef-comp-ci
ef-comp-ci-oc-caracteristicas-e-desenvolvimento-dos-animais,EF,oc,Características e desenvolvimento dos animais,ef-comp-ci
ef-comp-ci-oc-celula-como-unidade-da-vida,EF,oc,Célula como unidade da vida,ef-comp-ci
ef-comp-ci-oc-ciclo-hidrologico,EF,oc,Ciclo hidrológico,ef-comp-ci
ef-comp-ci-oc-circuitos-eletricos,EF,oc,Circuitos elétricos,ef-comp-ci
ef-comp-ci-oc-clima,EF,oc,Clima,ef-comp-ci
ef-comp-ci-oc-composicao-do-ar,EF,oc,Composição do ar,ef-comp-ci
ef-comp-ci-oc-composicao-estrutura-e-localizacao-do-sistema-solar-no-universo,EF,oc,"Composição, estrutura e localização do Sistema Solar no Universo",ef-comp-ci
ef-comp-ci-oc-constelacoes-e-mapas-celestes,EF,oc,Constelações e mapas celestes,ef-comp-ci
ef-comp-ci-oc-consumo-consciente,EF,oc,Consumo consciente,ef-comp-ci
ef-comp-ci-oc-corpo-humano,EF,oc,Corpo humano,ef-comp-ci
ef-comp-ci-oc-diversidade-de-ecossistemas,EF,oc,Diversidade de ecossistemas,ef-comp-ci
ef-comp-ci-oc-efeito-estufa,EF,oc,Efeito estufa,ef-comp-ci
ef-comp-ci-oc-efeitos-da-luz-nos-materiais,EF,oc,Efeitos da luz nos materiais,ef-comp-ci
ef-comp-ci-oc-equilibrio-termodinamico-e-vida-na-terra,EF,oc,Equilíbrio termodinâmico e vida na Terra,ef-comp-ci
ef-comp-ci-oc-escalas-de-tempo,EF,oc,Escalas de tempo,ef-comp-ci
ef-comp-ci-oc-estrutura-da-materia,EF,oc,Estrutura da matéria,ef-comp-ci
ef-comp-ci-oc-evolucao-estelar,EF,oc,Evolução estelar,ef-comp-ci
ef-comp-ci-oc-fenomenos-naturais-e-impactos-ambientais,EF,oc,Fenômenos naturais e impactos ambientais,ef-comp-ci
ef-comp-ci-oc-fenomenos-naturais-vulcoes-terremotos-e,EF,oc,"Fenômenos naturais (vulcões, terremotos e",ef-comp-ci
ef-comp-ci-oc-fontes-e-tipos-de-energia,EF,oc,Fontes e tipos de energia,ef-comp-ci
