codigo,area,componente,competencias_especificas,campos_atuacao_social,texto,vigencia_status,fonte_localizador,fonte_localizador_pdf
EM13CHS101,em-area-chs,,em-area-chs-ce-01,,"Identificar, analisar e comparar diferentes fontes e narrativas expressas em diversas linguagens, com vistas à compreensão de ideias filosóficas e de processos e eventos históricos, geográficos, políticos, econômicos, sociais, ambientais e culturais.",vigente,"aba 'Hab. de Ciências Humanas e So', linha 3","Base-Nacional-Comum-Curricular-BNCC.pdf, página PDF 574"
EM13CHS102,em-area-chs,,em-area-chs-ce-01,,"Identificar, analisar e discutir as circunstâncias históricas, geográficas, políticas, econômicas, sociais, ambientais e culturais de matrizes conceituais (etnocentrismo, racismo, evolução, modernidade, cooperativismo/desenvolvimento etc.), avaliando criticamente seu significado histórico e comparando-as a narrativas que contemplem outros agentes e discursos.",vigente,"aba 'Hab. de Ciências Humanas e So', linha 4","Base-Nacional-Comum-Curricular-BNCC.pdf, página PDF 574"
EM13CHS103,em-area-chs,,em-area-chs-ce-01,,"Elaborar hipóteses, selecionar evidências e compor argumentos relativos a processos políticos, econômicos, sociais, ambientais, culturais e epistemológicos, com base na sistematização de dados e informações de diversas naturezas (expressões artísticas, textos filosóficos e sociológicos, documentos históricos e geográficos, gráficos, mapas, tabelas, tradições orais, entre outros).",vigente,"aba 'Hab. de Ciências Humanas e So', linha 5","Base-Nacional-Comum-Curricular-BNCC.pdf, página PDF 574"
EM13CHS104,em-area-chs,,em-area-chs-ce-01,,"Analisar objetos e vestígios da cultura material e imaterial de modo a identificar conhecimentos, valores, crenças e práticas que caracterizam a identidade e a diversidade cultural de diferentes sociedades inseridas no tempo e no espaço.",vigente,"aba 'Hab. de Ciências Humanas e So', linha 6","Base-Nacional-Comum-Curricular-BNCC.pdf, página PDF 574"
EM13CHS105,em-area-chs,,em-area-chs-ce-01,,"Identificar, contextualizar e criticar tipologias evolutivas (populações nômades e sedentárias, entre outras) e oposições dicotômicas (cidade/campo, cultura/ natureza, civilizados/bárbaros, razão/emoção, material/virtual etc.), explicitando suas ambiguidades.",vigente,"aba 'Hab. de Ciências Humanas e So', linha 7","Base-Nacional-Comum-Curricular-BNCC.pdf, página PDF 574"
EM13CHS106,em-area-chs,,em-area-chs-ce-01,,"Utilizar as linguagens cartográfica, gráfica e iconográfica, diferentes gêneros textuais e tecnologias digitais de informação e comunicação de forma crítica, significativa, reflexiva e ética nas diversas práticas sociais, incluindo as escolares, para se comunicar, acessar e difundir informações, produzir conhecimentos, resolver problemas e exercer protagonismo e autoria na vida pessoal e coletiva.",vigente,"aba 'Hab. de Ciências Humanas e So', linha 8","Base-Nacional-Comum-Curricular-BNCC.pdf, página PDF 574"
EM13CHS201,em-area-chs,,em-area-chs-ce-02,,"Analisar e caracterizar as dinâmicas das populações, das mercadorias e do capital nos diversos continentes, com destaque para a mobilidade e a fixação de pessoas, grupos humanos e povos, em função de eventos naturais, políticos, econômicos, sociais, religiosos e culturais, de modo a compreender e posicionar-se criticamente em relação a esses processos e às possíveis relações entre eles.",vigente,"aba 'Hab. de Ciências Humanas e So', linha 9","Base-Nacional-Comum-Curricular-BNCC.pdf, página PDF 575"
EM13CHS202,em-area-chs,,em-area-chs-ce-02,,"Analisar e avaliar os impactos das tecnologias na estruturação e nas dinâmicas de grupos, povos e sociedades contemporâneos (fluxos populacionais, financeiros, de mercadorias, de informações, de valores éticos e culturais etc.), bem como suas interferências nas decisões políticas, sociais, ambientais, econômicas e culturais.",vigente,"aba 'Hab. de Ciências Humanas e So', linha 10","Base-Nacional-Comum-Curricular-BNCC.pdf, página PDF 575"
EM13CHS203,em-area-chs,,em-area-chs-ce-02,,"Comparar os significados de território, fronteiras e vazio (espacial, temporal e cultural) em diferentes sociedades, contextualizando e relativizando visões dualistas (civilização/barbárie, nomadismo/sedentarismo, esclarecimento/obscurantismo, cidade/campo, entre outras).",vigente,"aba 'Hab. de Ciências Humanas e So', linha 11","Base-Nacional-Comum-Curricular-BNCC.pdf, página PDF 575"
EM13CHS204,em-area-chs,,em-area-chs-ce-02,,"Comparar e avaliar os processos de ocupação do espaço e a formação de territórios, territorialidades e fronteiras, identificando o papel de diferentes agentes (como grupos sociais e culturais, impérios, Estados Nacionais e organismos internacionais) e considerando os conflitos populacionais (internos e externos), a diversidade étnico-cultural e as características socioeconômicas, políticas e tecnológicas.",vigente,"aba 'Hab. de Ciências Humanas e So', linha 12","Base-Nacional-Comum-Curricular-BNCC.pdf, página PDF 575"
EM13CHS205,em-area-chs,,em-area-chs-ce-02,,"Analisar a produção de diferentes territorialidades em suas dimensões culturais, econômicas, ambientais, políticas e sociais, no Brasil e no mundo contemporâneo, com destaque para as culturas juvenis.",vigente,"aba 'Hab. de Ciências Humanas e So', linha 13","Base-Nacional-Comum-Curricular-BNCC.pdf, página PDF 575"
EM13CHS206,em-area-chs,,em-area-chs-ce-02,,"Analisar a ocupação humana e a produção do espaço em diferentes tempos, aplicando os princípios de localização, distribuição, ordem, extensão, conexão, arranjos, casualidade, entre outros que contribuem para o raciocínio geográfico.",vigente,"aba 'Hab. de Ciências Humanas e So', linha 14","Base-Nacional-Comum-Curricular-BNCC.pdf, página PDF 575"
