id,tipo,titulo,ementa,url_oficial,relaciona,nota
constituicao-1988,constituicao,Constituição da República Federativa do Brasil de 1988,"Carta constitucional em vigor. Os arts. 205 a 214 estabelecem a educação como direito de todos e dever do Estado e da família, fixam os princípios do ensino e preveem o plano nacional de educação.",https://www.planalto.gov.br/ccivil_03/constituicao/constituicao.htm,bncc-2018:fundamenta,
lei-8069-1990,lei,"Lei nº 8.069, de 13 de julho de 1990",Dispõe sobre o Estatuto da Criança e do Adolescente e dá outras providências.,https://www.planalto.gov.br/ccivil_03/leis/l8069.htm,,
lei-9394-1996,lei,"Lei nº 9.394, de 20 de dezembro de 1996",Estabelece as diretrizes e bases da educação nacional (LDB). O art. 26 determina que os currículos da educação básica tenham base nacional comum.,https://www.planalto.gov.br/ccivil_03/leis/l9394.htm,bncc-2018:fundamenta,
emenda-constitucional-59-2009,emenda_constitucional,"Emenda Constitucional nº 59, de 11 de novembro de 2009","Torna a educação básica obrigatória e gratuita dos 4 aos 17 anos de idade, amplia os programas suplementares a todas as etapas e insere a universalização entre as diretrizes do plano nacional de educação (altera os arts. 208, 211 e 214 da Constituição).",https://www.planalto.gov.br/ccivil_03/constituicao/emendas/emc/emc59.htm,EI:fundamenta | EF:fundamenta | EM:fundamenta,
resolucao-cne-ceb-5-2009,resolucao,"Resolução CNE/CEB nº 5, de 17 de dezembro de 2009",Fixa as Diretrizes Curriculares Nacionais para a Educação Infantil.,https://www.gov.br/mec/pt-br/cne/pdf/resolucoes-do-cne/ceb/2009/rceb005_09.pdf,EI:diretrizes,
resolucao-cne-ceb-4-2010,resolucao,"Resolução CNE/CEB nº 4, de 13 de julho de 2010",Define Diretrizes Curriculares Nacionais Gerais para a Educação Básica.,https://www.gov.br/mec/pt-br/cne/pdf/resolucoes-do-cne/ceb/2010/rceb004_10.pdf,EI:diretrizes | EF:diretrizes | EM:diretrizes | eja:diretrizes,
resolucao-cne-ceb-7-2010,resolucao,"Resolução CNE/CEB nº 7, de 14 de dezembro de 2010",Fixa Diretrizes Curriculares Nacionais para o Ensino Fundamental de 9 (nove) anos.,https://www.gov.br/mec/pt-br/cne/pdf/resolucoes-do-cne/ceb/2010/rceb007_10.pdf,EF:diretrizes,
lei-12796-2013,lei,"Lei nº 12.796, de 4 de abril de 2013","Altera a Lei nº 9.394/1996 (LDB) para dispor sobre a formação dos profissionais da educação e dar outras providências; incorpora à LDB a obrigatoriedade da educação básica dos 4 aos 17 anos, incluindo a pré-escola.",https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2013/lei/l12796.htm,EI:fundamenta,
lei-13005-2014,lei,"Lei nº 13.005, de 25 de junho de 2014","Aprova o Plano Nacional de Educação (PNE) e dá outras providências. As metas 2, 3 e 7 e suas estratégias preveem a base nacional comum curricular.",https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2014/lei/l13005.htm,bncc-2018:fundamenta,
lei-13146-2015,lei,"Lei nº 13.146, de 6 de julho de 2015","Institui a Lei Brasileira de Inclusão da Pessoa com Deficiência (Estatuto da Pessoa com Deficiência); assegura sistema educacional inclusivo em todos os níveis e adaptações razoáveis, base legal do plano educacional individualizado (PEI).",https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/lei/l13146.htm,,
