codigo,campo_experiencias,grupo_etario,alinhamento,texto,vigencia_status,fonte_localizador
EI01CG01,ei-campo-cg,ei-grupo-01,ei-align-cg-01,"Movimentar as partes do corpo para exprimir corporalmente emoções, necessidades e desejos.",vigente,página PDF 49
EI01CG02,ei-campo-cg,ei-grupo-01,ei-align-cg-02,Experimentar as possibilidades corporais nas brincadeiras e interações em ambientes acolhedores e desafiantes.,vigente,página PDF 49
EI01CG03,ei-campo-cg,ei-grupo-01,ei-align-cg-03,"Imitar gestos e movimentos de outras crianças, adultos e animais.",vigente,página PDF 49
EI01CG04,ei-campo-cg,ei-grupo-01,ei-align-cg-04,Participar do cuidado do seu corpo e da promoção do seu bem-estar.,vigente,página PDF 49
EI01CG05,ei-campo-cg,ei-grupo-01,ei-align-cg-05,"Utilizar os movimentos de preensão, encaixe e lançamento, ampliando suas possibilidades de manuseio de diferentes materiais e objetos.",vigente,página PDF 49
EI01EF01,ei-campo-ef,ei-grupo-01,ei-align-ef-01,Reconhecer quando é chamado por seu nome e reconhecer os nomes de pessoas com quem convive.,vigente,página PDF 51
EI01EF02,ei-campo-ef,ei-grupo-01,ei-align-ef-02,Demonstrar interesse ao ouvir a leitura de poemas e a apresentação de músicas.,vigente,página PDF 51
EI01EF03,ei-campo-ef,ei-grupo-01,ei-align-ef-03,"Demonstrar interesse ao ouvir histórias lidas ou contadas, observando ilustrações e os movimentos de leitura do adulto-leitor (modo de segurar o portador e de virar as páginas).",vigente,página PDF 51
EI01EF04,ei-campo-ef,ei-grupo-01,ei-align-ef-04,"Reconhecer elementos das ilustrações de histórias, apontando-os, a pedido do adulto-leitor.",vigente,página PDF 51
EI01EF05,ei-campo-ef,ei-grupo-01,ei-align-ef-05,"Imitar as variações de entonação e gestos realizados pelos adultos, ao ler histórias e ao cantar.",vigente,página PDF 51
EI01EF06,ei-campo-ef,ei-grupo-01,ei-align-ef-06,"Comunicar-se com outras pessoas usando movimentos, gestos, balbucios, fala e outras formas de expressão.",vigente,página PDF 52
EI01EF07,ei-campo-ef,ei-grupo-01,ei-align-ef-07,"Conhecer e manipular materiais impressos e audiovisuais em diferentes portadores (livro, revista, gibi, jornal, cartaz, CD, tablet etc.).",vigente,página PDF 52
EI01EF08,ei-campo-ef,ei-grupo-01,ei-align-ef-08,"Participar de situações de escuta de textos em diferentes gêneros textuais (poemas, fábulas, contos, receitas, quadrinhos, anúncios etc.).",vigente,página PDF 52
EI01EF09,ei-campo-ef,ei-grupo-01,ei-align-ef-09,Conhecer e manipular diferentes instrumentos e suportes de escrita.,vigente,página PDF 52
EI01EO01,ei-campo-eo,ei-grupo-01,ei-align-eo-01,Perceber que suas ações têm efeitos nas outras crianças e nos adultos.,vigente,página PDF 47
EI01EO02,ei-campo-eo,ei-grupo-01,ei-align-eo-02,Perceber as possibilidades e os limites de seu corpo nas brincadeiras e interações das quais participa.,vigente,página PDF 47
EI01EO03,ei-campo-eo,ei-grupo-01,ei-align-eo-03,"Interagir com crianças da mesma faixa etária e adultos ao explorar espaços, materiais, objetos, brinquedos.",vigente,página PDF 47
EI01EO04,ei-campo-eo,ei-grupo-01,ei-align-eo-04,"Comunicar necessidades, desejos e emoções, utilizando gestos, balbucios, palavras.",vigente,página PDF 47
EI01EO05,ei-campo-eo,ei-grupo-01,ei-align-eo-05,"Reconhecer seu corpo e expressar suas sensações em momentos de alimentação, higiene, brincadeira e descanso.",vigente,página PDF 47
